āe; yes
aha; what?
ahakoa; although
ahau; I, me
āhei; to allow
ahi; fire
ahiahi; early evening, afternoon
aho; light, to shine
ahu; to look after
āhua; shape, form, appearance
āhuatanga; property, characteristic, feature, circumstance
aihikirīmi; ice-cream
aituā; disaster, to suffer a disaster
ākau; shore, coast
ake;  upwards, comparative, own
ako; to learn, to teach
ākonga; student, learner
akoranga; thing that is taught or learnt
aku; my, mine, plural
ākuanei; soon, presently
ana; cave
anā; there, by you
āna; his, her, plural
anake; only, just
anei; here, by me
anga; shell
anō;  again, also, too, self(reflexive)
ao; world, dawn, cloud
aorangi; planet
āpōpō; tomorrow
āporo; apple
ara; to rise
arā; over there, away from us both
ārahi; to lead, guide
ārai; curtain, to screen off, block
ariki; chief, leader
aro; to face, turn towards
aroha; love, sympathy, compassion
ata; morning, shadow
āta; gently, carefully, deliberately
ātaahua; beautiful, well formed
atawhai; to show kindness towards
ātea; outer space
atu; away from current orientation
atua; god
au; I, me
āu; your
aua; those (previously mentioned)
auahi; smoke
auau; to bark, howl
auē; Alas! An expression of woe, sadness
awa; river
āwangawanga; worried
awatea; daylight
awhi; to hug, embrace
āwhina; to help
ehara; Exclamation: Sure enough, without a doubt.
eke; to embark, get onto
ēnā; those, near you, plural
ēnei; these, near me, plural
engari; but, on the contrary
ērā; those, over there, plural
ētahi; some, plural
ētehi; some, plural
ha; what!
hā; breath
haere; go, come
hāereere; to wander, roam
haerenga; journey
haina; to sign (a letter, document)
haka; war dance
hākari; feast
haki; flag
hākinakina; sport, to play sport
hāmama; open, gaping
hanga; to build, erect, make
hāngai; opposite, facing
hangarau; technology
hāngi; traditional earth oven
hao; to catch in a net, a net
hāora; oxygen
hāparangi; to shout, bawl
hapū; pregnant
hara; to make a mistake, mistake
harakeke; flax
hararei; holiday
hari; to feel happy
harikoa; happy
haruru; to resound, a heavy sound
hau; wind, air, breath
haunga; smelly, stinky
hāunga; besides
hauora; health, healthy
haurua; half
hāwhe; half
he; a, some
hē; wrong, error, mistake
hea; where?
hei;  at, in, with, for, to, as a
heihei; chicken
heke; rafter
hekenga; descent
hēki; egg
hemo; to pass by, be gone
hēoi; and so, therefore
here; to tie, to bind
hī; to catch fish with a line
hia; how many?
hiahia; to want
hika; a term of address for both sexes
hiki; to carry in the arms, to nurse
hiko; electricity
hīkoi; to step, tread
hine; Term of address for a girl
hinengaro; mind, intellect
hinga; to fall from an upright position
hinu; oil, fat
hipi; sheep
hoa; friend
hoariri; enemy
hoatu; to give (away from speaker)
hoe; to paddle, row
hōhā; annoyed, a nuisance
hōhonu; deep
hōia; soldier, warrior
hōiho; horse
hoki; to go back, return
hokinga; return
hoko; to buy, sell
hokohoko; to shop, trade
hōmai; to give (to speaker)
hono; to join together
hopu; to catch
horo; to crumble, to fall down
horoi; to wash, to clean
hou; new
hū; shoe
hua; product
huakina; to open
huarahi; path, road
hui; meeting
huia; a treasured bird, now extinct
huka; sugar
huna; to hide
hunga; group of people
huri; to turn
hurihuri; to turn round and round, over and over
huritau; birthday
huruhuru; fur
ināianei; now
ia; he, she, him, her
iho; downwards
ihu; nose
ika; fish
ina; if, when
inā; if, when
ine; to measure
ingoa; name
inu; to drink
ipu; container, bowl
ira; gene
irirangi; radio
iti; small, little
iwa; nine
iwi; tribe
kā; to burn, be alight
kaha; strong, able
kāhore; Negative used for verb sentences – not
kahu; cloak, cape, covering
kahurangi; woman of high status or rank
kai; food
kaiako; teacher
kaikōrero; speaker
kaimahi; worker
kaimoana; seafood
kāinga; home
kaipuke; ship
kaipūtaiao; scientist
kaitā; big, sturdy of build
kaitākaro; player, sportsperson
kaitiaki; caretaker, caregiver
kaituhi; writer, author
kaiwhakahaere; manager, organiser
kākahu; clothing, garment
kākano; seed
kakara; scent, smell
kākāriki; green
kakau; handle
kake; to climb
kakī; neck
kamo; eye
kānga; corn
kanikani; dance, to dance
kano; colour
kanohi; face
kāo; no!
kāore; Negative used for verb sentences – not
kapa; group, row of people
kāpata; cupboard
kāpene; captain
kapi; to be covered or occupied (of space)
kāpia; glue
kapu; cup
kapua; cloud
kara; colour
karāhe; glass, mirror
karaka; orange
karakia; prayer, to pray
karanga; to call
karani; granny, grandmother
kararehe; animal
kare; stove, heater
kāre; Negative word – not, none
karere; messenger
kāreti; carrot
kāri; playing card
karu; eye
kata; to laugh
kātahi; then
katakata; to laugh and laugh, laughter
kāti; Stop!
katoa; all
kau; swim
kaua; Negative word, do not
kauaka; Negative word, do not
kauhoe; to swim
kaukau; to bathe
kaumātua; elder, elderly
kaupapa; topic, theme
kaute; to count
kauwhata; graph
kāwana; government, governor
kāwanatanga; government
kawe; to carry, convey
kawenga; load, luggage, burden
kāwhe; calf
kē; already, instead
kēhua; ghost
kei;  present time and place location – at, non-past time
keke; cake
kekeno; seal
kēmu; game
kete; basket, kit
ki; to, at
kī; to be full
kīhai; Negative word – not, used with the past tense
kiia; crowded, full up
kimi; to look for, seek
kino; bad
kiore; rat
kiri; skin
kirikiri; sand
kiromita; kilometre
kite; to see
kitenga; observation, seeing
kiwi; kiwi, native bird
kō; at a distance, yonder
koa; happy
koe; you, one person
koha; gift
kōhanga; nest
kōhatu; stone
kohi; to collect, gather together
kohikohi; to collect, gather together
kōhua; to boil, cooking pot
koi; sharp
koia; it is, so
koina; that is (near listener)
koinei; this is
kōiwi; bone
kōkā; mother, aunt
kōkiri; to charge, rush at
konā; there, by listener
konei; here, by speaker
kongakonga; small piece, fragment
kōpae; disc
kore; zero, nothing
kōrere; tap
kōrero; to talk, speak
kōrerorero; to discuss
koro; Term of address for an elderly man
koroua; elderly man, grandfather
kōrua; you, two people
kotahi; one
kōtiro; girl
kōtuku; white heron
koutou; you, three or more people
kōwhai; kōwhai, a native tree
kua; Verbal particle, indicating completed action or movement into a state
kuhu; to enter, to go or come in
kui; Term of address for an elderly woman, E kui.
kuia; elderly woman, grandmother
kuini; queen
kukume; to pull, to drag
kūmara; kūmara, sweet potato
kūpenga; net
kupu; word
kura; treasured item
kurī; dog
mā; clean
maha; many
mahana; warm
māhanga; twin(s)
mahara; thought, memory
māharahara; mahara worried, anxious
māhau; for you
mahere; map, plan
mahi; to do, work, make
mahue; to be left behind
māhunga; head
mai; towards the speaker in space or in orientation
māia; capable, brave, bold
makariri; cold
makawe; hair of the head (human), used in plural
makere; to get down from
māku; for me, by me
mākū; wet
māmā; easy
mamae; hurt, sore
mana; prestige, authority
māna; for him / her, by him / her
manaaki; to look after, to show hospitality towards
manawa; heart
manga; branch
mano; thousand
manu; bird
manuhiri; guest
māori; normal, ordinary, fresh (of water)
māra; garden
marama; month, moon
mārama; clear, understand
maramara; crumbs, small pieces
marangai; rain, storm
mārika; indeed, quite, certainly, āe mārika
maringi; to spill
mārō; hard (of texture, personality)
maroke; dry
