Ahuroa; Long mound; ahu: mound, roa: long
Aoroa; Long cloud; ao: cloud, roa: long
Aotearoa; Land of the long white cloud; ao: cloud, tea: white, roa: long
Aramoana; Sea pathway; ara: path, moana: sea
Aranui; Great pathway; ara: path, nui: great
Arapae; Pathway along the ridge; ara: path, pae: ridgeway
Arapito; End of the path; ara: path, pito: end or extremity
Arapōhue; Path of the climbing plant; ara: path, pōhue: climbing plant
Arapuni; Blocked path; ara: path, puni: blocked or covered
Ararātā; Rātā tree path; ara: path, rātā: native tree
Ararimu; Rimu tree path; ara: path, rimu: native tree
Ararua; Two paths; ara: path, rua: two
Arataha; Side path; ara: path, taha: side
Aratapu; Sacred path; ara: path, tapu: sacred or restricted
Aratiatia Lakes, Aratiatia Rapids; Pegged ladder; ara: path, tiatia: pegs
Aratika; Direct path; ara: path, tika: correct or straight
Aratoro; Path of discovery; ara: path, toro: discover
Aropaonui; Bashed kidney fat; aro: kidney fat, paoa: to bash
Aukati; Frontier; au: line, kati: block
Auripo; Eddying current; au: current, ripo: whirlpool, or eddying
Auroa; Long cloud; au: cloud or mist, roa: long
Awa; River; awa: river
Awahōhonu River; Deep river; awa: river, hōhonu: deep
Awahōu; New river; awa: river, hōu: new
Awaiti; Little river; awa: river, iti: little
Awa-kāeaea; Sparrow-hawk stream; awa: valley or stream, kāeaea: the sparrow-hawk
Awakeri; Ditch or trench; awa: river, keri: dig
Awakino; Bad creek; awa: river, kino: bad, evil, or of bad appearance
Awamangu; Black river; awa: river, mangu: black
Awamarino; Calm stream; awa: stream, marino: calm
Awamoana; Sea stream; awa: stream, moana: sea
Awamoko; Lizard stream; awa: stream, moko: lizard
Awanui; Large river; awa: river, nui: large
Awapikopiko; Winding stream; awa: stream, pikopiko: winding about
Awapuni; Blocked-up river; awa: stream, puni: blocked up
Awarere; Flowing stream; awa: stream, rere: to flow
Awariki; Little river; awa: river, riki: small
Awaroa; Long river; awa: river or valley, roa: long
Awarua; Two streams; awa: stream or river, rua: two
Awatere River; Swift river; awa: river, tere: swift
Awatoitoi; Giant bully stream; awa: stream, toitoi: giant bully 
Awatōtō; Stream for hauling (canoes); awa: stream, tōtō: hauling place
Awatuna; Eel stream; awa: stream, tuna: eel
Eketāhuna; Land on the sandbank; eke: run aground or land, tāhuna: sandbank
Epiha; Ephesus; Māori form of biblical name Ephesus
Erua; Two; e: used before cardinal numbers from two to nine, rua: two
Hāpua-waikawa; Pool of bitter water; hāpua: pool, wai: water, kawa: bitter
Haumoana; Sea breeze; hau: wind, moana: sea
Haunui; Strong wind; hau: wind, nui: big or many
Hiwinui; Big ridge; hiwi: ridge, nui: big
Hokanui; Large projection; hoka: projecting sharply upwards, nui: large
Houipapa; Ribbonwood flat; houi: lacebark, papa: flat
Houpoto; Short feathers; hou: feathers, poto: short
Hukanui; Heavy snow; huka: foam, frost or snow, nui: big
Hukerenui; Large cascade; hukere: cascade, nui: large
Hurimoana; Overflowing ocean; huri: to overflow, moana: ocean
Ihumātao; Cold nose; ihu: nose, mātao: cold
Ihumoana ; Nose into the sea; ihu: nose, moana: sea
Ikawai; Waters of fish; ika: fish, wai: water
Kā Pukehore; The bare hills; A descriptive name, kā (ngā): the, puke: hill, hore: bare (the peaks were bare of vegetation)
Kā Pukemāeroero; The hill of ogres; kā (ngā): the, puke: hill, māeroero: ogres of the South Island forests
Kaharoa; Large net; kaha: net, roa: long
Kaiata; Eating in the morning; kai: to eat: ata: early morning
Kaiaua; Eating mullets; kai: to eat, aua: mullet or herrings
Kai-Hau-o-Kupe; The place where Kupe ‘ate wind’; kai: to eat, hau: wind, o: of, Kupe
Kaihiku; Eating a fish tail; kai: te eat, hiku: tail of a fish
Kaihinu; Food preserved in fat; kai: food, hinu: fat
Kaihu; Eat secretly; An abbreviation of kai-hu-a-Ihenga, kai: to eat, hu: secretly, a: of, Ihenga
Kaikarae; Eat a seabird; kai: food, karae: seabird
Kaikōura; Eat crayfish; kai: to eat, koura: crayfish
Kaikūmera Bay; Eat kūmara; kai: to eat, kūmera (alternate spelling of kūmara): sweet potato
Kaimāī; Eat fermented food; kai: food or to eat, māī: mussels, or slightly fermented food
Kaimamaku; Eat edible tree-fern; kai: food or to eat, mamaku: edible tree-fern
Kaimanawa Mountains; Breath for food; kai: food or to eat, manawa: breath (also meaning heart or emotion)
Kaimangō; Eating shark; kai: food or to eat, mangō: shark
Kaimata; Eat raw food; kaimata: unripe or uncooked food
Kaimātaitai; Eat seafood; kai: food, mātaitai: salty
